NTAName,NTA2020,BoroName,BoroCD,Pop_Total,Num_65+,Percent_65+,Percent_65+_Below_Poverty,Percent_Hispanic,Percent_white,Percent_Black,Percent_Asian,Percent_Other,
Fresh Meadows-Utopia,QN41,Queens,408,"18,699","3,155",16.9,11.2,11.7,29.6,5.8,49.3,3.7%,
Oakland Gardens,QN42,Queens,411,"30,316","5,444",18,10.3,9.9,37.7,2.6,46.9,2.9%,
Bellerose,QN43,Queens,413,"27,733","4,196",15.1,10.3,21.1,25.5,7.9,41.7,3.8%,
Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,413,"24,365","6,321",25.9,8,10.6,40.2,5.4,40.5,3.3%,
Douglas Manor-Douglaston-Little Neck,QN45,Queens,411,"25,633","6,310",24.6,6.7,10,46,1,40.4,2.6%,
Bayside-Bayside Hills,QN46,Queens,411,"43,212","8,712",20.2,8.1,11.5,39.7,2.4,45.1,1.3%,
Ft. Totten-Bay Terrace-Clearview,QN47,Queens,407,"22,700","5,810",25.6,9.4,12.6,57.2,0.8,27.4,1.9%,
Auburndale,QN48,Queens,411,"20,588","3,982",19.3,9.9,13.6,32.8,1.1,49.9,2.6%,
Whitestone,QN49,Queens,407,"31,971","6,978",21.8,7.4,14.5,60.7,0.4,22.2,2.2%,
Elmhurst-Maspeth,QN50,Queens,402,"24,234","3,458",14.3,9,27,12.9,0.8,57.8,1.6%,
Murray Hill,QN51,Queens,407,"50,231","9,834",19.6,20.3,15.8,23.7,1.7,56.8,2.1%,
East Flushing,QN52,Queens,407,"25,677","4,731",18.4,23.7,17.8,15,1.1,64.2,1.8%,
Woodhaven,QN53,Queens,409,"60,572","7,126",11.8,10.1,55.2,15.5,3.1,23.6,2.5%,
Richmond Hill,QN54,Queens,409,"65,068","7,125",11,13.9,36.6,10.5,7.9,31.5,13.5%,
South Ozone Park,QN55,Queens,410,"82,931","10,091",12.2,12.2,22.1,5.2,21,29.9,21.8%,
Ozone Park,QN56,Queens,410,"24,511","2,748",11.2,9.9,42.5,21.5,5.3,24.9,5.8%,
Lindenwood-Howard Beach,QN57,Queens,410,"29,219","6,420",22,9.8,22.3,67.8,1.8,5,3.0%,
Kew Gardens,QN60,Queens,409,"23,166","3,700",16,17.5,26.2,45.9,5.1,18,4.8%,
