GEOID20,NAME,Estimate_Total,MoE_Total,Estimate_Total_Not_Hispanic_or_Latino,MoE_Total_Not_Hispanic_or_Latino,Estimate_Total_Not_Hispanic_or_Latino_White_alone,MoE_Total_Not_Hispanic_or_Latino_White_alone,Estimate_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Not_Hispanic_or_Latino_Asian_alone,MoE_Total_Not_Hispanic_or_Latino_Asian_alone,Estimate_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Not_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Not_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races",Estimate_Total_Hispanic_or_Latino,MoE_Total_Hispanic_or_Latino,Estimate_Total_Hispanic_or_Latino_White_alone,MoE_Total_Hispanic_or_Latino_White_alone,Estimate_Total_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Hispanic_or_Latino_Asian_alone,MoE_Total_Hispanic_or_Latino_Asian_alone,Estimate_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races"
1500000US360470247002,"Block Group 2, Census Tract 247, Kings County, New York",1026,337,776,254,337,152,256,148,0,12,141,145,0,12,0,12,42,40,0,12,42,40,250,211,20,18,54,58,0,12,0,12,0,12,33,36,143,197,143,197,0,12
1500000US360470248001,"Block Group 1, Census Tract 248, Kings County, New York",1262,304,1103,277,568,231,0,12,28,52,507,200,0,12,0,12,0,12,0,12,0,12,159,132,42,39,0,12,0,12,0,12,0,12,111,126,6,9,0,12,6,9
1500000US360470248002,"Block Group 2, Census Tract 248, Kings County, New York",1286,309,1005,264,478,204,4,7,0,12,444,179,0,12,62,75,17,28,0,12,17,28,281,211,112,100,0,12,0,12,0,12,0,12,169,188,0,12,0,12,0,12
1500000US360470249001,"Block Group 1, Census Tract 249, Kings County, New York",1150,417,1086,409,393,227,475,190,0,12,27,27,0,12,0,12,191,182,0,12,191,182,64,60,0,12,0,12,0,12,0,12,0,12,64,60,0,12,0,12,0,12
1500000US360470249002,"Block Group 2, Census Tract 249, Kings County, New York",1444,432,1231,376,490,195,698,388,0,12,33,37,0,12,0,12,10,16,0,12,10,16,213,228,79,88,0,12,0,12,0,12,0,12,49,77,85,134,85,134,0,12
1500000US360470249003,"Block Group 3, Census Tract 249, Kings County, New York",992,290,820,264,360,129,397,261,12,18,30,34,0,12,0,12,21,33,0,12,21,33,172,122,54,50,0,12,0,12,12,19,0,12,106,117,0,12,0,12,0,12
1500000US360470249004,"Block Group 4, Census Tract 249, Kings County, New York",561,288,543,287,332,206,201,206,0,12,10,15,0,12,0,12,0,12,0,12,0,12,18,27,18,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470250001,"Block Group 1, Census Tract 250, Kings County, New York",1115,411,699,190,86,47,0,12,0,12,613,198,0,12,0,12,0,12,0,12,0,12,416,397,22,27,0,12,18,28,0,12,0,12,376,395,0,12,0,12,0,12
1500000US360470250002,"Block Group 2, Census Tract 250, Kings County, New York",684,152,590,141,83,72,0,12,0,12,493,147,0,12,0,12,14,21,0,12,14,21,94,103,0,12,0,12,0,12,0,12,0,12,94,103,0,12,0,12,0,12
1500000US360470251001,"Block Group 1, Census Tract 251, Kings County, New York",1086,402,1053,400,469,320,548,223,0,12,18,23,0,12,18,30,0,12,0,12,0,12,33,27,22,23,0,12,0,12,0,12,0,12,0,12,11,22,11,22,0,12
1500000US360470251002,"Block Group 2, Census Tract 251, Kings County, New York",1593,418,1306,425,274,144,943,439,0,12,62,37,0,12,0,12,27,30,14,21,13,21,287,125,47,51,0,12,0,12,0,12,0,12,160,159,80,123,0,12,80,123
1500000US360470251003,"Block Group 3, Census Tract 251, Kings County, New York",1037,312,867,281,319,160,460,232,0,12,20,32,0,12,0,12,68,78,0,12,68,78,170,141,72,108,0,12,0,12,0,12,0,12,24,26,74,84,25,27,49,79
1500000US360470252001,"Block Group 1, Census Tract 252, Kings County, New York",616,199,589,196,263,168,0,12,0,12,326,160,0,12,0,12,0,12,0,12,0,12,27,32,11,17,0,12,8,12,0,12,0,12,0,12,8,13,8,13,0,12
1500000US360470252002,"Block Group 2, Census Tract 252, Kings County, New York",1617,558,1395,527,1086,505,31,35,0,12,268,205,0,12,0,12,10,39,0,12,10,39,222,245,30,37,0,12,0,12,0,12,0,12,160,232,32,51,32,51,0,12
1500000US360470252003,"Block Group 3, Census Tract 252, Kings County, New York",1766,387,1543,353,233,137,100,97,13,20,1140,349,0,12,35,45,22,37,0,12,22,37,223,258,42,48,0,12,0,12,0,12,0,12,181,258,0,12,0,12,0,12
1500000US360470252004,"Block Group 4, Census Tract 252, Kings County, New York",1258,408,873,351,227,184,0,12,0,12,545,289,0,12,0,12,101,114,0,12,101,114,385,246,64,69,66,102,0,12,0,12,0,12,255,235,0,12,0,12,0,12
1500000US360470253001,"Block Group 1, Census Tract 253, Kings County, New York",1411,291,1312,276,510,192,655,222,17,27,84,71,0,12,0,12,46,45,0,12,46,45,99,86,82,82,0,12,0,12,0,12,0,12,17,26,0,12,0,12,0,12
1500000US360470253002,"Block Group 2, Census Tract 253, Kings County, New York",1705,834,1458,823,643,592,752,550,0,12,47,42,0,12,1,4,15,23,0,12,15,23,247,217,216,213,0,12,0,12,0,12,0,12,0,12,31,37,31,37,0,12
1500000US360470253003,"Block Group 3, Census Tract 253, Kings County, New York",500,185,288,153,122,81,114,100,0,12,14,23,0,12,0,12,38,61,0,12,38,61,212,170,125,146,22,35,0,12,0,12,0,12,65,79,0,12,0,12,0,12
1500000US360470254001,"Block Group 1, Census Tract 254, Kings County, New York",1211,391,1057,373,401,217,0,12,0,12,615,295,0,12,0,12,41,67,41,67,0,12,154,221,0,12,0,12,0,12,0,12,0,12,11,17,143,219,143,219,0,12
1500000US360470254002,"Block Group 2, Census Tract 254, Kings County, New York",513,187,513,187,197,110,0,12,0,12,305,205,0,12,0,12,11,17,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470254003,"Block Group 3, Census Tract 254, Kings County, New York",1454,310,1305,297,466,242,0,12,0,12,819,214,0,12,0,12,20,33,0,12,20,33,149,112,82,79,0,12,0,12,0,12,0,12,40,49,27,42,27,42,0,12
1500000US360470255001,"Block Group 1, Census Tract 255, Kings County, New York",2848,545,1204,353,62,71,1031,372,0,12,111,122,0,12,0,12,0,12,0,12,0,12,1644,482,345,252,288,268,49,74,0,12,187,272,513,217,262,260,262,260,0,12
1500000US360470255002,"Block Group 2, Census Tract 255, Kings County, New York",2355,588,799,362,0,12,582,270,26,46,0,12,0,12,0,12,191,230,0,12,191,230,1556,509,449,389,253,158,0,12,0,12,0,12,673,275,181,171,126,138,55,91
1500000US360470256001,"Block Group 1, Census Tract 256, Kings County, New York",1513,634,1389,627,275,175,26,39,0,12,956,583,0,12,0,12,132,157,17,28,115,148,124,197,0,12,0,12,0,12,0,12,0,12,124,197,0,12,0,12,0,12
1500000US360470256002,"Block Group 2, Census Tract 256, Kings County, New York",1653,451,1624,464,561,264,0,12,0,12,1043,359,0,12,0,12,20,25,0,12,20,25,29,42,29,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470257001,"Block Group 1, Census Tract 257, Kings County, New York",1216,410,671,194,478,177,149,121,0,12,19,28,0,12,0,12,25,26,14,20,11,16,545,343,162,149,37,54,0,12,0,12,0,12,298,203,48,70,48,70,0,12
1500000US360470257002,"Block Group 2, Census Tract 257, Kings County, New York",494,182,113,86,62,58,51,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,381,173,62,69,0,12,46,80,0,12,0,12,273,158,0,12,0,12,0,12
1500000US360470257003,"Block Group 3, Census Tract 257, Kings County, New York",831,238,451,176,213,95,216,154,0,12,0,12,0,12,0,12,22,36,0,12,22,36,380,239,152,138,0,12,0,12,0,12,0,12,174,169,54,86,54,86,0,12
