GEOID20,NAME,Estimate_Total,MoE_Total,Estimate_Total_Not_Hispanic_or_Latino,MoE_Total_Not_Hispanic_or_Latino,Estimate_Total_Not_Hispanic_or_Latino_White_alone,MoE_Total_Not_Hispanic_or_Latino_White_alone,Estimate_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Not_Hispanic_or_Latino_Asian_alone,MoE_Total_Not_Hispanic_or_Latino_Asian_alone,Estimate_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Not_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Not_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races",Estimate_Total_Hispanic_or_Latino,MoE_Total_Hispanic_or_Latino,Estimate_Total_Hispanic_or_Latino_White_alone,MoE_Total_Hispanic_or_Latino_White_alone,Estimate_Total_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Hispanic_or_Latino_Asian_alone,MoE_Total_Hispanic_or_Latino_Asian_alone,Estimate_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races"
1500000US360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",6600,684,4285,584,817,280,3234,437,27,27,171,69,0,17,0,17,36,25,0,17,36,25,2315,262,1743,232,207,71,0,17,0,17,0,17,252,177,113,67,44,41,69,52
1500000US360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1385,365,540,296,12,16,490,291,0,12,38,59,0,12,0,12,0,12,0,12,0,12,845,315,547,289,71,68,0,12,0,12,0,12,203,132,24,36,0,12,24,36
1500000US360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1542,627,440,322,56,88,298,304,0,12,34,52,0,12,52,83,0,12,0,12,0,12,1102,453,168,168,258,257,0,12,0,12,0,12,450,317,226,243,203,241,23,25
1500000US360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1240,355,244,203,9,15,192,190,0,12,43,62,0,12,0,12,0,12,0,12,0,12,996,382,480,231,85,92,0,12,0,12,0,12,377,329,54,81,0,12,54,81
1500000US360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",491,314,154,222,129,212,0,12,0,12,25,37,0,12,0,12,0,12,0,12,0,12,337,193,236,176,18,29,0,12,0,12,0,12,83,138,0,12,0,12,0,12
1500000US360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",728,409,136,121,44,65,38,51,0,12,0,12,0,12,0,12,54,66,0,12,54,66,592,387,329,251,50,79,0,12,0,12,0,12,213,280,0,12,0,12,0,12
1500000US360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",3817,913,1057,279,143,95,836,299,0,12,62,83,0,12,2,22,14,24,0,12,14,24,2760,867,945,361,315,237,15,24,86,134,0,12,1272,877,127,113,47,55,80,87
1500000US360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",648,281,189,151,55,51,91,92,0,12,0,12,0,12,0,12,43,66,0,12,43,66,459,297,304,240,0,12,0,12,0,12,0,12,155,163,0,12,0,12,0,12
1500000US360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",3066,545,1638,538,33,41,1326,474,192,224,0,12,0,12,55,58,32,40,21,35,11,19,1428,302,618,219,264,142,0,12,13,20,0,12,356,202,177,131,138,123,39,45
1500000US360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",644,239,203,147,89,95,57,71,0,12,57,101,0,12,0,12,0,12,0,12,0,12,441,166,215,101,17,23,0,12,0,12,0,12,209,123,0,12,0,12,0,12
1500000US360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",1308,428,487,251,34,52,428,246,0,12,0,12,0,12,0,12,25,39,0,12,25,39,821,378,153,119,24,36,0,12,0,12,0,12,571,378,73,72,73,72,0,12
1500000US360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",899,335,254,179,73,40,175,162,0,12,6,12,0,12,0,12,0,12,0,12,0,12,645,275,119,91,62,58,0,12,0,12,0,12,345,212,119,182,119,182,0,12
1500000US360050019011,"Block Group 1, Census Tract 19.01, Bronx County, New York",1910,301,881,231,259,103,610,211,0,12,0,12,0,12,0,12,12,13,12,13,0,12,1029,279,365,208,168,113,0,12,0,12,0,12,434,233,62,56,50,57,12,16
1500000US360050019021,"Block Group 1, Census Tract 19.02, Bronx County, New York",1334,305,694,187,201,114,373,110,0,12,47,62,0,12,9,11,64,70,0,12,64,70,640,288,38,38,67,56,35,53,12,18,0,12,458,305,30,37,30,37,0,12
1500000US360050019031,"Block Group 1, Census Tract 19.03, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050019032,"Block Group 2, Census Tract 19.03, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050019040,"Block Group 0, Census Tract 19.04, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050019041,"Block Group 1, Census Tract 19.04, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050019042,"Block Group 2, Census Tract 19.04, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050020011,"Block Group 1, Census Tract 20.01, Bronx County, New York",2830,896,736,274,0,12,736,274,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2094,787,831,696,587,516,0,12,0,12,0,12,676,540,0,12,0,12,0,12
1500000US360050020012,"Block Group 2, Census Tract 20.01, Bronx County, New York",1198,528,890,443,0,12,882,437,0,12,0,12,0,12,0,12,8,35,0,12,8,35,308,241,64,57,0,12,0,12,0,12,0,12,146,163,98,127,33,60,65,106
1500000US360050020013,"Block Group 3, Census Tract 20.01, Bronx County, New York",809,510,524,324,0,12,433,314,0,12,0,12,0,12,0,12,91,143,0,12,91,143,285,426,227,422,0,12,0,12,0,12,0,12,58,80,0,12,0,12,0,12
1500000US360050020021,"Block Group 1, Census Tract 20.02, Bronx County, New York",815,542,569,583,0,12,569,583,0,12,0,12,0,12,0,12,0,12,0,12,0,12,246,179,176,192,0,12,0,12,0,12,0,12,70,83,0,12,0,12,0,12
1500000US360050020022,"Block Group 2, Census Tract 20.02, Bronx County, New York",2426,992,244,390,0,12,244,390,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2182,938,598,621,41,53,82,196,0,12,0,12,1010,475,451,637,51,122,400,627
1500000US360050020023,"Block Group 3, Census Tract 20.02, Bronx County, New York",1527,814,629,460,0,12,629,460,0,12,0,12,0,12,0,12,0,12,0,12,0,12,898,665,217,327,318,401,26,45,0,12,0,12,337,445,0,12,0,12,0,12
1500000US360050023001,"Block Group 1, Census Tract 23, Bronx County, New York",2121,483,592,262,0,12,592,262,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1529,497,206,117,148,102,8,13,0,12,0,12,1150,491,17,18,8,12,9,14
1500000US360050023002,"Block Group 2, Census Tract 23, Bronx County, New York",939,330,265,260,1,3,256,261,0,12,0,12,0,12,0,12,8,13,0,12,8,13,674,346,370,281,26,42,0,12,0,12,0,12,255,225,23,35,23,35,0,12
1500000US360050023003,"Block Group 3, Census Tract 23, Bronx County, New York",1457,375,438,217,6,10,406,216,0,12,0,12,0,12,26,39,0,12,0,12,0,12,1019,354,138,115,180,141,4,6,0,12,0,12,541,288,156,234,156,234,0,12
1500000US360050024000,"Block Group 0, Census Tract 24, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050024001,"Block Group 1, Census Tract 24, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050025001,"Block Group 1, Census Tract 25, Bronx County, New York",929,401,61,52,7,16,35,44,0,12,6,9,0,12,13,21,0,12,0,12,0,12,868,408,45,66,16,18,0,12,0,12,0,12,783,406,24,24,15,20,9,14
1500000US360050025002,"Block Group 2, Census Tract 25, Bronx County, New York",1185,346,514,268,9,13,481,273,0,12,0,12,0,12,24,37,0,12,0,12,0,12,671,282,283,213,152,86,0,12,0,12,0,12,201,191,35,53,35,53,0,12
1500000US360050025003,"Block Group 3, Census Tract 25, Bronx County, New York",1411,447,217,136,8,13,209,135,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1194,427,107,68,145,86,13,22,0,12,0,12,790,427,139,134,62,45,77,126
1500000US360050025004,"Block Group 4, Census Tract 25, Bronx County, New York",1375,561,443,329,104,166,339,294,0,12,0,12,0,12,0,12,0,12,0,12,0,12,932,431,244,169,0,12,0,12,0,12,0,12,688,433,0,12,0,12,0,12
1500000US360050025005,"Block Group 5, Census Tract 25, Bronx County, New York",794,324,315,208,130,113,185,179,0,12,0,12,0,12,0,12,0,12,0,12,0,12,479,248,114,89,104,155,0,12,0,12,44,65,77,75,140,185,104,130,36,56
1500000US360050027011,"Block Group 1, Census Tract 27.01, Bronx County, New York",1182,329,337,174,0,12,337,174,0,12,0,12,0,12,0,12,0,12,0,12,0,12,845,258,123,88,126,135,0,12,0,12,0,12,513,262,83,68,65,62,18,28
1500000US360050027012,"Block Group 2, Census Tract 27.01, Bronx County, New York",1490,555,364,205,10,15,354,203,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1126,548,194,139,56,57,0,12,0,12,0,12,876,555,0,12,0,12,0,12
1500000US360050027021,"Block Group 1, Census Tract 27.02, Bronx County, New York",1095,488,477,435,0,12,455,433,0,12,0,12,0,12,0,12,22,31,22,31,0,12,618,287,115,89,37,54,0,12,0,12,0,12,423,248,43,61,16,34,27,51
1500000US360050027022,"Block Group 2, Census Tract 27.02, Bronx County, New York",867,327,524,224,0,12,524,224,0,12,0,12,0,12,0,12,0,12,0,12,0,12,343,208,100,147,5,10,0,12,0,12,0,12,220,157,18,19,18,19,0,12
1500000US360050027023,"Block Group 3, Census Tract 27.02, Bronx County, New York",1302,388,830,366,23,35,789,376,18,27,0,12,0,12,0,12,0,12,0,12,0,12,472,250,28,42,20,22,0,12,0,12,0,12,352,222,72,89,56,83,16,36
1500000US360050027024,"Block Group 4, Census Tract 27.02, Bronx County, New York",1240,429,205,142,0,12,205,142,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1035,456,209,160,54,82,0,12,0,12,0,12,660,393,112,172,112,172,0,12
1500000US360050028001,"Block Group 1, Census Tract 28, Bronx County, New York",1215,609,375,274,0,12,375,274,0,12,0,12,0,12,0,12,0,12,0,12,0,12,840,593,441,343,92,170,0,12,0,12,0,12,117,135,190,217,0,12,190,217
1500000US360050028002,"Block Group 2, Census Tract 28, Bronx County, New York",1905,449,1665,471,40,65,1625,448,0,12,0,12,0,12,0,12,0,12,0,12,0,12,240,230,44,54,23,36,0,12,0,12,0,12,124,200,49,80,0,12,49,80
1500000US360050028003,"Block Group 3, Census Tract 28, Bronx County, New York",1141,702,642,402,0,12,642,402,0,12,0,12,0,12,0,12,0,12,0,12,0,12,499,553,321,499,0,12,0,12,0,12,0,12,154,241,24,39,24,39,0,12
1500000US360050028004,"Block Group 4, Census Tract 28, Bronx County, New York",769,274,523,273,25,40,481,261,0,12,0,12,0,12,0,12,17,27,0,12,17,27,246,161,143,144,0,12,0,12,0,12,0,12,38,44,65,119,0,12,65,119
1500000US360050031001,"Block Group 1, Census Tract 31, Bronx County, New York",1858,435,623,251,29,24,499,243,0,12,69,71,0,12,26,48,0,12,0,12,0,12,1235,342,310,145,110,79,20,28,67,107,0,12,592,200,136,88,97,75,39,45
1500000US360050033001,"Block Group 1, Census Tract 33, Bronx County, New York",782,327,516,269,26,36,490,268,0,12,0,12,0,12,0,12,0,12,0,12,0,12,266,199,65,85,44,55,0,12,0,12,0,12,133,185,24,32,24,32,0,12
1500000US360050033002,"Block Group 2, Census Tract 33, Bronx County, New York",1331,545,518,356,0,12,454,344,0,12,0,12,0,12,64,87,0,12,0,12,0,12,813,410,118,132,87,93,0,12,0,12,0,12,608,411,0,12,0,12,0,12
1500000US360050033003,"Block Group 3, Census Tract 33, Bronx County, New York",1027,491,347,493,0,12,347,493,0,12,0,12,0,12,0,12,0,12,0,12,0,12,680,202,176,147,0,12,0,12,0,12,0,12,480,189,24,36,24,36,0,12
1500000US360050035001,"Block Group 1, Census Tract 35, Bronx County, New York",534,227,117,91,28,45,89,72,0,12,0,12,0,12,0,12,0,12,0,12,0,12,417,238,81,63,39,79,0,12,0,12,0,12,209,186,88,122,88,122,0,12
1500000US360050035002,"Block Group 2, Census Tract 35, Bronx County, New York",1449,334,776,300,0,12,740,292,0,12,0,12,0,12,0,12,36,62,0,12,36,62,673,273,281,218,74,91,10,19,0,12,0,12,253,165,55,81,55,81,0,12
1500000US360050035003,"Block Group 3, Census Tract 35, Bronx County, New York",1755,814,123,135,18,23,105,133,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1632,819,153,111,580,776,82,130,0,12,0,12,712,293,105,114,54,48,51,71
1500000US360050037001,"Block Group 1, Census Tract 37, Bronx County, New York",222,102,76,45,0,12,76,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,146,98,15,23,78,93,0,12,0,12,0,12,53,39,0,12,0,12,0,12
1500000US360050038001,"Block Group 1, Census Tract 38, Bronx County, New York",1169,166,291,213,0,12,291,213,0,12,0,12,0,12,0,12,0,12,0,12,0,12,878,197,716,187,9,13,8,13,0,12,0,12,145,119,0,12,0,12,0,12
1500000US360050039001,"Block Group 1, Census Tract 39, Bronx County, New York",1578,724,172,217,0,12,172,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1406,718,191,241,0,12,13,27,0,12,0,12,980,644,222,325,222,325,0,12
1500000US360050039002,"Block Group 2, Census Tract 39, Bronx County, New York",428,289,169,145,113,141,56,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,259,264,10,16,0,12,0,12,0,12,0,12,249,268,0,12,0,12,0,12
1500000US360050039003,"Block Group 3, Census Tract 39, Bronx County, New York",1794,933,959,723,116,126,835,724,0,12,8,12,0,12,0,12,0,12,0,12,0,12,835,498,267,216,0,12,0,12,0,12,0,12,568,441,0,12,0,12,0,12
1500000US360050039004,"Block Group 4, Census Tract 39, Bronx County, New York",599,488,33,53,0,12,33,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,566,484,67,92,0,12,0,12,0,12,0,12,499,465,0,12,0,12,0,12
1500000US360050039005,"Block Group 5, Census Tract 39, Bronx County, New York",2337,831,104,120,77,103,27,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2233,853,312,376,163,171,5,8,0,12,0,12,1749,884,4,6,4,6,0,12
1500000US360050040011,"Block Group 1, Census Tract 40.01, Bronx County, New York",1425,268,547,146,89,60,100,47,46,73,258,118,0,12,33,46,21,23,0,12,21,23,878,263,202,92,58,34,0,12,0,12,0,12,595,251,23,37,23,37,0,12
1500000US360050041001,"Block Group 1, Census Tract 41, Bronx County, New York",1023,431,311,263,12,22,285,251,0,12,0,12,0,12,0,12,14,26,0,12,14,26,712,341,146,169,0,12,160,256,0,12,0,12,237,159,169,202,169,202,0,12
1500000US360050041002,"Block Group 2, Census Tract 41, Bronx County, New York",1941,637,689,422,247,257,407,408,0,12,35,58,0,12,0,12,0,12,0,12,0,12,1252,515,501,388,0,12,0,12,0,12,0,12,634,381,117,183,6,10,111,182
1500000US360050041003,"Block Group 3, Census Tract 41, Bronx County, New York",64,108,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,108,64,108,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050041004,"Block Group 4, Census Tract 41, Bronx County, New York",2837,890,1364,629,0,12,1364,629,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1473,809,99,97,310,206,0,12,0,12,0,12,607,447,457,670,425,667,32,78
1500000US360050042001,"Block Group 1, Census Tract 42, Bronx County, New York",822,479,262,215,0,12,262,215,0,12,0,12,0,12,0,12,0,12,0,12,0,12,560,414,394,379,0,12,56,89,0,12,0,12,110,160,0,12,0,12,0,12
1500000US360050042002,"Block Group 2, Census Tract 42, Bronx County, New York",1748,711,218,201,47,58,171,187,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1530,688,638,562,192,254,0,12,0,12,0,12,567,541,133,182,133,182,0,12
1500000US360050042003,"Block Group 3, Census Tract 42, Bronx County, New York",2333,1039,1081,734,0,12,1081,734,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1252,679,604,477,290,283,0,12,0,12,0,12,296,324,62,101,62,101,0,12
1500000US360050042004,"Block Group 4, Census Tract 42, Bronx County, New York",1227,693,242,180,0,12,242,180,0,12,0,12,0,12,0,12,0,12,0,12,0,12,985,728,0,12,0,12,0,12,0,12,0,12,569,439,416,340,416,340,0,12
1500000US360050042005,"Block Group 5, Census Tract 42, Bronx County, New York",987,728,468,274,0,12,433,267,0,12,14,24,0,12,0,12,21,35,0,12,21,35,519,700,79,132,440,681,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050042006,"Block Group 6, Census Tract 42, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050042007,"Block Group 7, Census Tract 42, Bronx County, New York",672,381,191,183,0,12,191,183,0,12,0,12,0,12,0,12,0,12,0,12,0,12,481,368,28,46,25,41,0,12,0,12,0,12,428,359,0,12,0,12,0,12
1500000US360050043001,"Block Group 1, Census Tract 43, Bronx County, New York",1658,512,194,75,27,20,167,75,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1464,507,548,351,224,265,12,19,0,12,0,12,516,307,164,164,151,164,13,20
1500000US360050043002,"Block Group 2, Census Tract 43, Bronx County, New York",1466,354,296,160,23,36,273,159,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1170,355,190,124,162,177,0,12,0,12,0,12,615,252,203,207,189,216,14,22
1500000US360050043003,"Block Group 3, Census Tract 43, Bronx County, New York",1382,544,509,309,0,12,509,309,0,12,0,12,0,12,0,12,0,12,0,12,0,12,873,409,207,131,127,136,0,12,0,12,0,12,224,149,315,348,56,86,259,269
1500000US360050043004,"Block Group 4, Census Tract 43, Bronx County, New York",915,296,351,197,23,34,240,225,0,12,88,109,0,12,0,12,0,12,0,12,0,12,564,205,168,109,0,12,0,12,0,12,0,12,281,165,115,149,115,149,0,12
1500000US360050044001,"Block Group 1, Census Tract 44, Bronx County, New York",860,327,458,284,0,12,420,282,0,12,19,42,0,12,0,12,19,31,0,12,19,31,402,228,147,142,97,91,0,12,0,12,0,12,158,149,0,12,0,12,0,12
1500000US360050044002,"Block Group 2, Census Tract 44, Bronx County, New York",610,305,144,169,0,12,144,169,0,12,0,12,0,12,0,12,0,12,0,12,0,12,466,280,53,86,119,177,0,12,0,12,0,12,251,178,43,53,43,53,0,12
1500000US360050044003,"Block Group 3, Census Tract 44, Bronx County, New York",1848,523,710,279,46,53,541,243,0,12,95,119,0,12,19,24,9,19,0,12,9,19,1138,497,92,73,6,12,6,11,0,12,0,12,1017,496,17,19,17,19,0,12
1500000US360050044004,"Block Group 4, Census Tract 44, Bronx County, New York",1083,297,435,244,74,128,361,241,0,12,0,12,0,12,0,12,0,12,0,12,0,12,648,290,0,12,0,12,0,12,0,12,0,12,648,290,0,12,0,12,0,12
1500000US360050046001,"Block Group 1, Census Tract 46, Bronx County, New York",1854,370,628,164,34,35,571,150,0,12,0,12,0,12,0,12,23,34,23,34,0,12,1226,342,563,162,25,38,0,12,0,12,0,12,315,135,323,300,323,300,0,12
1500000US360050048001,"Block Group 1, Census Tract 48, Bronx County, New York",2003,534,488,385,0,12,467,387,0,12,0,12,0,12,0,12,21,33,0,12,21,33,1515,422,222,143,45,65,93,117,0,12,0,12,1012,358,143,159,56,54,87,136
1500000US360050048002,"Block Group 2, Census Tract 48, Bronx County, New York",2754,573,456,255,22,33,203,161,21,39,145,147,0,12,9,20,56,70,37,60,19,33,2298,509,154,147,223,190,0,12,0,12,0,12,1613,449,308,238,261,228,47,82
1500000US360050050011,"Block Group 1, Census Tract 50.01, Bronx County, New York",885,393,457,310,43,57,301,290,0,12,113,92,0,12,0,12,0,12,0,12,0,12,428,250,42,51,0,12,0,12,0,12,0,12,386,247,0,12,0,12,0,12
1500000US360050050012,"Block Group 2, Census Tract 50.01, Bronx County, New York",1528,380,246,152,0,12,246,152,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1282,383,48,58,36,77,0,12,0,12,0,12,1149,375,49,64,49,64,0,12
1500000US360050050013,"Block Group 3, Census Tract 50.01, Bronx County, New York",861,291,257,187,4,8,135,111,97,145,0,12,0,12,4,9,17,27,0,12,17,27,604,174,61,59,54,58,0,12,0,12,0,12,472,161,17,24,9,21,8,12
1500000US360050050014,"Block Group 4, Census Tract 50.01, Bronx County, New York",1191,382,556,233,10,15,503,241,16,28,0,12,0,12,5,9,22,33,0,12,22,33,635,330,35,40,0,12,0,12,0,12,0,12,600,330,0,12,0,12,0,12
1500000US360050050021,"Block Group 1, Census Tract 50.02, Bronx County, New York",2339,617,441,270,5,9,369,253,0,12,0,12,44,80,0,12,23,24,0,12,23,24,1898,562,163,148,130,170,0,12,0,12,0,12,1524,482,81,134,81,134,0,12
1500000US360050050022,"Block Group 2, Census Tract 50.02, Bronx County, New York",965,385,373,278,44,46,329,275,0,12,0,12,0,12,0,12,0,12,0,12,0,12,592,297,61,68,41,49,0,12,0,12,0,12,472,298,18,28,0,12,18,28
1500000US360050050023,"Block Group 3, Census Tract 50.02, Bronx County, New York",1770,840,715,696,0,12,652,686,0,12,63,96,0,12,0,12,0,12,0,12,0,12,1055,452,0,12,26,43,0,12,0,12,0,12,1029,452,0,12,0,12,0,12
1500000US360050050024,"Block Group 4, Census Tract 50.02, Bronx County, New York",1217,479,280,220,11,18,263,210,6,12,0,12,0,12,0,12,0,12,0,12,0,12,937,408,84,92,0,12,0,12,0,12,0,12,800,390,53,54,53,54,0,12
1500000US360050051001,"Block Group 1, Census Tract 51, Bronx County, New York",342,272,190,291,0,12,190,291,0,12,0,12,0,12,0,12,0,12,0,12,0,12,152,130,0,12,0,12,0,12,0,12,0,12,152,130,0,12,0,12,0,12
1500000US360050051002,"Block Group 2, Census Tract 51, Bronx County, New York",3545,1040,1058,570,0,12,1058,570,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2487,997,838,824,208,209,0,12,0,12,0,12,1243,467,198,275,176,270,22,35
1500000US360050051003,"Block Group 3, Census Tract 51, Bronx County, New York",1971,566,385,229,0,12,346,221,0,12,39,62,0,12,0,12,0,12,0,12,0,12,1586,603,97,82,80,87,0,12,0,12,0,12,1384,617,25,40,25,40,0,12
1500000US360050052001,"Block Group 1, Census Tract 52, Bronx County, New York",639,277,211,100,0,12,211,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,428,273,69,74,40,44,0,12,0,12,0,12,297,253,22,29,22,29,0,12
1500000US360050052002,"Block Group 2, Census Tract 52, Bronx County, New York",1240,278,352,149,0,12,338,147,0,12,0,12,0,12,0,12,14,20,0,12,14,20,888,253,129,81,88,72,76,108,0,12,0,12,595,232,0,12,0,12,0,12
1500000US360050053001,"Block Group 1, Census Tract 53, Bronx County, New York",2893,585,1850,523,20,21,1707,458,0,12,0,12,0,12,19,31,104,140,0,12,104,140,1043,304,236,189,334,263,0,12,0,12,0,12,473,311,0,12,0,12,0,12
1500000US360050053002,"Block Group 2, Census Tract 53, Bronx County, New York",2249,595,897,373,0,12,871,371,0,12,0,12,0,12,0,12,26,30,0,12,26,30,1352,515,223,183,111,123,147,155,0,12,0,12,809,372,62,77,18,21,44,69
1500000US360050054001,"Block Group 1, Census Tract 54, Bronx County, New York",726,290,414,222,2,3,381,216,0,12,31,49,0,12,0,12,0,12,0,12,0,12,312,204,25,39,73,118,0,12,0,12,0,12,214,187,0,12,0,12,0,12
1500000US360050054002,"Block Group 2, Census Tract 54, Bronx County, New York",2272,769,555,289,20,33,455,263,0,12,27,41,0,12,53,60,0,12,0,12,0,12,1717,723,83,73,105,116,0,12,0,12,0,12,1286,604,243,393,243,393,0,12
1500000US360050054003,"Block Group 3, Census Tract 54, Bronx County, New York",1330,427,321,171,74,125,46,47,0,12,53,64,0,12,121,102,27,46,8,14,19,32,1009,378,33,49,119,194,301,415,0,12,0,12,533,354,23,25,23,25,0,12
1500000US360050054004,"Block Group 4, Census Tract 54, Bronx County, New York",1026,365,343,210,0,12,266,171,0,12,0,12,0,12,0,12,77,103,0,12,77,103,683,358,21,34,70,102,0,12,43,59,0,12,527,306,22,36,22,36,0,12
