GEO_ID,NAME,B19013_001E,B19013_001EA,B19013_001M,B19013_001MA
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",29297,null,7519,null
1400000US36005013000,"Census Tract 130, Bronx County, New York",78125,null,50223,null
1400000US36005013100,"Census Tract 131, Bronx County, New York",26620,null,13731,null
1400000US36005013200,"Census Tract 132, Bronx County, New York",125486,null,31392,null
1400000US36005013300,"Census Tract 133, Bronx County, New York",41675,null,16600,null
1400000US36005013500,"Census Tract 135, Bronx County, New York",26074,null,12331,null
1400000US36005013800,"Census Tract 138, Bronx County, New York",68466,null,12014,null
1400000US36005014100,"Census Tract 141, Bronx County, New York",29663,null,7110,null
1400000US36005014300,"Census Tract 143, Bronx County, New York",21125,null,8620,null
1400000US36005014400,"Census Tract 144, Bronx County, New York",18552,null,7514,null
1400000US36005014500,"Census Tract 145, Bronx County, New York",35145,null,6866,null
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",27625,null,12187,null
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",30653,null,18651,null
1400000US36005014900,"Census Tract 149, Bronx County, New York",23620,null,7662,null
1400000US36005015100,"Census Tract 151, Bronx County, New York",26474,null,3715,null
1400000US36005015200,"Census Tract 152, Bronx County, New York",76344,null,11025,null
1400000US36005015300,"Census Tract 153, Bronx County, New York",32566,null,11274,null
1400000US36005015500,"Census Tract 155, Bronx County, New York",29138,null,9990,null
1400000US36005015700,"Census Tract 157, Bronx County, New York",34091,null,7437,null
1400000US36005015800,"Census Tract 158, Bronx County, New York",64712,null,18716,null
1400000US36005015900,"Census Tract 159, Bronx County, New York",-,-,**,**
1400000US36005016000,"Census Tract 160, Bronx County, New York",82250,null,10712,null
1400000US36005016100,"Census Tract 161, Bronx County, New York",19172,null,3946,null
1400000US36005016200,"Census Tract 162, Bronx County, New York",83250,null,20333,null
1400000US36005016300,"Census Tract 163, Bronx County, New York",-,-,**,**
1400000US36005016400,"Census Tract 164, Bronx County, New York",66875,null,28194,null
1400000US36005016500,"Census Tract 165, Bronx County, New York",26989,null,4998,null
1400000US36005016600,"Census Tract 166, Bronx County, New York",92535,null,12121,null
1400000US36005016700,"Census Tract 167, Bronx County, New York",31635,null,6064,null
1400000US36005016900,"Census Tract 169, Bronx County, New York",45017,null,7392,null
1400000US36005017100,"Census Tract 171, Bronx County, New York",-,-,**,**
1400000US36005017300,"Census Tract 173, Bronx County, New York",20619,null,12116,null
1400000US36005017500,"Census Tract 175, Bronx County, New York",24399,null,6286,null
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",24977,null,14409,null
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",41806,null,12069,null
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",40631,null,10190,null
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",40236,null,15598,null
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",44426,null,32685,null
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",26289,null,12521,null
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",41441,null,10539,null
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",48640,null,16955,null
1400000US36005018400,"Census Tract 184, Bronx County, New York",101823,null,17410,null
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",38839,null,19311,null
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",22860,null,9880,null
1400000US36005018900,"Census Tract 189, Bronx County, New York",29906,null,12099,null
1400000US36005019300,"Census Tract 193, Bronx County, New York",32705,null,11204,null
1400000US36005019400,"Census Tract 194, Bronx County, New York",63816,null,3347,null
1400000US36005019500,"Census Tract 195, Bronx County, New York",31365,null,6463,null
1400000US36005019700,"Census Tract 197, Bronx County, New York",23750,null,18655,null
1400000US36005019900,"Census Tract 199, Bronx County, New York",33267,null,14884,null
1400000US36005020000,"Census Tract 200, Bronx County, New York",40847,null,6981,null
1400000US36005020100,"Census Tract 201, Bronx County, New York",42464,null,4287,null
1400000US36005020200,"Census Tract 202, Bronx County, New York",41393,null,9859,null
1400000US36005020400,"Census Tract 204, Bronx County, New York",60278,null,17612,null
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",20101,null,6127,null
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",21683,null,9977,null
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",48654,null,18731,null
1400000US36005020900,"Census Tract 209, Bronx County, New York",39741,null,12045,null
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",57222,null,12051,null
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",59977,null,9184,null
1400000US36005021100,"Census Tract 211, Bronx County, New York",31929,null,3682,null
1400000US36005021200,"Census Tract 212, Bronx County, New York",66442,null,16210,null
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",32361,null,29879,null
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",19155,null,10733,null
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",39875,null,15698,null
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",30125,null,12221,null
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",36163,null,9711,null
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",56905,null,6528,null
1400000US36005021700,"Census Tract 217, Bronx County, New York",40778,null,7073,null
1400000US36005021800,"Census Tract 218, Bronx County, New York",47581,null,11062,null
1400000US36005021900,"Census Tract 219, Bronx County, New York",27569,null,20458,null
1400000US36005022000,"Census Tract 220, Bronx County, New York",35250,null,16973,null
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",41128,null,8530,null
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",34659,null,9572,null
1400000US36005022200,"Census Tract 222, Bronx County, New York",53869,null,8414,null
1400000US36005022300,"Census Tract 223, Bronx County, New York",27232,null,9730,null
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",48984,null,13002,null
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",53015,null,18219,null
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",58690,null,9779,null
1400000US36005022500,"Census Tract 225, Bronx County, New York",48152,null,6687,null
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",24939,null,16168,null
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",26633,null,15918,null
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",66683,null,15892,null
1400000US36005022800,"Census Tract 228, Bronx County, New York",59819,null,7959,null
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",35542,null,15760,null
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",39630,null,22670,null
1400000US36005023000,"Census Tract 230, Bronx County, New York",47661,null,5820,null
1400000US36005023100,"Census Tract 231, Bronx County, New York",41635,null,11192,null
1400000US36005023200,"Census Tract 232, Bronx County, New York",51509,null,8121,null
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",31446,null,15993,null
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",40852,null,9533,null
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",30381,null,10968,null
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",38804,null,9677,null
1400000US36005023600,"Census Tract 236, Bronx County, New York",41667,null,27547,null
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",46346,null,22330,null
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",24732,null,9732,null
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",24833,null,14060,null
1400000US36005023800,"Census Tract 238, Bronx County, New York",60543,null,11905,null
1400000US36005023900,"Census Tract 239, Bronx County, New York",40334,null,7136,null
1400000US36005024000,"Census Tract 240, Bronx County, New York",46633,null,22816,null
1400000US36005024100,"Census Tract 241, Bronx County, New York",35658,null,9436,null
1400000US36005024300,"Census Tract 243, Bronx County, New York",27245,null,8353,null
1400000US36005024400,"Census Tract 244, Bronx County, New York",55938,null,9729,null
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",26313,null,11858,null
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",30938,null,12863,null
1400000US36005024600,"Census Tract 246, Bronx County, New York",70956,null,11586,null
1400000US36005024700,"Census Tract 247, Bronx County, New York",55938,null,17646,null
1400000US36005024800,"Census Tract 248, Bronx County, New York",75000,null,17826,null
