nta,weighted_mean
Queensbridge-Ravenswood-Dutch Kills,0.022825930005386005
Randall's Island,0.005199700999708431
Rego Park,0.005684551837002983
Richmond Hill,0.006377074012063175
Ridgewood,0.008061786868462475
Rikers Island,0.03423369033073853
Riverdale-Spuyten Duyvil,0.0036973867398506907
Rockaway Beach-Arverne-Edgemere,0.015786029484761287
Rosebank-Shore Acres-Park Hill,0.003973177601676902
Rosedale,0.0031455414010129537
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0.004074703885917478
SoHo-Little Italy-Hudson Square,0.03042504007598609
Soundview-Bruckner-Bronx River,0.00662497165212467
Soundview-Clason Point,0.009067127367494448
South Jamaica,0.007550884854384607
South Ozone Park,0.004902761729078862
South Richmond Hill,0.0050211950990043976
South Williamsburg,0.006571081040449302
Spring Creek-Starrett City,0.004810192175281178
Springfield Gardens (North)-Rochdale Village,0.014848425867858193
Springfield Gardens (South)-Brookville,0.003519446619421761
St. Albans,0.004214089876804851
St. George-New Brighton,0.02044294364789328
Stuyvesant Town-Peter Cooper Village,0.009676398183366904
Sunnyside,0.00534337761599323
Sunnyside Yards (North),0.005844376474775018
Sunset Park (Central),0.005047773521026645
Sunset Park (East)-Borough Park (West),0.005121215346366139
Sunset Park (West),0.022260644536201326
Throgs Neck-Schuylerville,0.0071474658996767745
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0.0030859119614040937
Tompkinsville-Stapleton-Clifton-Fox Hills,0.006180502097978518
Tottenville-Charleston,0.004572799195345399
Tremont,0.011069940151496089
Tribeca-Civic Center,0.022598813119059067
University Heights (North)-Fordham,0.008641170385418147
University Heights (South)-Morris Heights,0.007698353077746723
Upper East Side-Carnegie Hill,0.013776016392572194
Upper East Side-Lenox Hill-Roosevelt Island,0.009429915995124702
Upper East Side-Yorkville,0.01200474905352499
Upper West Side (Central),0.012629577027416546
Upper West Side-Lincoln Square,0.015210727963410404
Upper West Side-Manhattan Valley,0.016022204534022876
Wakefield-Woodlawn,0.009631619431593305
Washington Heights (North),0.01043876878826186
Washington Heights (South),0.011010005324637218
West Farms,0.006555406044539803
West New Brighton-Silver Lake-Grymes Hill,0.006103569719819239
West Village,0.021103373933489506
Westchester Square,0.005674202797248291
Westerleigh-Castleton Corners,0.003801661567528102
Whitestone-Beechhurst,0.002887490430252508
Williamsbridge-Olinville,0.007636793468045591
Williamsburg,0.010492595515632799
Windsor Terrace-South Slope,0.004133783416944132
Woodhaven,0.0044950103346409025
Woodside,0.004644948393264854
